"code","interface","interfaceorder","completionthreequizzes","completionall","test1","test2","q1date","q1time","q1progress","q2date","q2time","q2progress","q3date","q3time","q3progress","finaldate","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17"
"G-third-first-second-11dd8f85-6570-487f-b290-1c4677ed0bcf","G","third-first-second","Yes","Yes","23","123","2021-04-25-20:10:01","6:38","23","2021-04-25-20:12:03","9:17","23","2021-04-25-20:13:35","3:29","23","2021-04-25-20:14:48","2","2","2","3","4","5","5","2","2","1","2","2","1","2","Male","45–54","Yes, I used to be a smartwatch user"
"P-second-third-first-695d4a4c-84c5-4ace-8172-f727b9a26016","P","second-third-first","","","15","30","2021-04-25-19:52:56","3:19","2","","","","","","","","","","","","","","","","","","","","","","","",""
"J-third-first-second-9ece25a6-b85e-4912-9a14-a554cf75a723","J","third-first-second","Yes","Yes","12","33","2021-04-25-19:41:40","6:38","120","2021-04-25-19:44:28","9:17","33","2021-04-25-19:46:20","3:29","67","2021-04-25-19:47:07","1","1","3","3","4","3","3","1","1","1","2","1","2","3","Female","35–44","No, I have never used smartwatch before"
"B-third-second-first-c10004a4-ba1b-481d-9957-0046b442eaff","B","third-second-first","Yes","Yes","12","137","2021-04-25-19:46:58","6:40","120","2021-04-25-19:50:37","3:29","70","2021-04-25-19:52:54","9:17","30","2021-04-25-19:53:49","4","5","5","4","5","1","1","5","5","1","4","5","4","5","Male","45–54","Yes, I am currently a smartwatch user"
"K-first-third-second-53d9f6e6-f0f0-4678-8de1-68e85f507d6a","K","first-third-second","Yes","Yes","20","140","2021-04-25-19:46:34","9:17","40","2021-04-25-19:50:58","6:38","110","2021-04-25-19:52:26","3:29","70","2021-04-25-19:54:11","4","4","5","4","5","1","1","4","4","1","5","5","5","5","Male","35–44","No, I have never used smartwatch before"
"O-second-first-third-a87700ec-6845-4ba5-9d72-669d4910e1be","O","second-first-third","","","5","4","2021-04-25-19:42:48","2:2","2","","","","","","","","","","","","","","","","","","","","","","","",""
"E-third-first-second-f1067e61-3f50-4305-a7a6-44b55ced60a5","E","third-first-second","Yes","Yes","20","140","2021-04-25-19:45:43","6:38","20","2021-04-25-19:51:18","9:17","40","2021-04-25-19:52:49","9:27","80","2021-04-25-19:54:26","1","5","4","4","4","2","3","4","4","1","5","4","4","5","Male","35–44","Yes, I am currently a smartwatch user"
"P-third-first-second-0155ea95-749f-4a77-9fb9-607294247bce","P","third-first-second","Yes","Yes","20","134","2021-04-25-19:46:41","6:38","40","2021-04-25-19:55:22","6:37","41","2021-04-25-19:57:29","3:29","72","2021-04-25-20:00:51","3","4","2","2","2","4","4","2","2","1","2","3","2","3","Female","35–44","Yes, I used to be a smartwatch user"
"C-second-third-first-e11ab045-5ce4-480d-b4a4-51e60ce8fcfa","C","second-third-first","Yes","Yes","20","140","2021-04-25-19:45:37","3:29","40","2021-04-25-19:47:37","6:38","110","2021-04-25-19:48:10","9:17","30","2021-04-25-19:49:09","5","3","5","5","5","1","1","5","5","1","3","5","3","5","Male","35–44","No, I have never used smartwatch before"
"M-first-third-second-154744d4-75a1-4eee-8359-4b0dd0a6ff6b","M","first-third-second","Yes","Yes","20","140","2021-04-25-19:43:45","09:17","40","2021-04-25-19:47:15","06:38","120","2021-04-25-19:48:16","03:29","75","2021-04-25-19:49:28","4","4","4","3","3","2","2","3","3","1","4","3","3","4","Male","25–34","No, I have never used smartwatch before"
"D-first-third-second-055d7949-04de-49fe-bbe7-e29072e0968b","D","first-third-second","Yes","Yes","20","120","2021-04-25-20:09:36","9:17","41","2021-04-25-20:13:42","6:38","115","2021-04-25-20:15:07","3:29","75","2021-04-25-20:16:08","2","3","4","3","4","4","4","3","4","1","3","2","2","4","Female","55–64","No, I have never used smartwatch before"
"F-third-first-second-e281f3c1-c724-451a-81a9-fc35fb2d0726","F","third-first-second","Yes","Yes","20","140","2021-04-25-19:44:39","6:38","115","2021-04-25-19:48:34","9:17","35","2021-04-25-19:49:43","3:29","70","2021-04-25-19:50:35","3","3","4","4","4","4","3","2","3","1","2","2","2","3","Female","45–54","Yes, I am currently a smartwatch user"
"C-second-first-third-a9a10235-2898-41ee-941d-ab0bdb3c246c","C","second-first-third","","","29","149","2021-04-25-19:51:25","3:29","40","2021-04-25-20:03:10","9:17","74","","","","","","","","","","","","","","","","","","","","",""
"C-first-third-second-5faba680-82fc-4a08-b611-e19c9449a320","C","first-third-second","Yes","Yes","20","140","2021-04-25-19:51:33","78:45","30","2021-04-25-20:00:14","78:45","30","2021-04-25-20:02:46","78:16","100","2021-04-25-20:03:10","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Male","25–34","Yes, I used to be a smartwatch user"
"G-first-third-second-97910de3-ed81-4e8b-bdeb-5c21ec3fdf4f","G","first-third-second","Yes","Yes","20","140","2021-04-25-19:45:05","09:37","500","2021-04-25-19:48:45","128:45","20","2021-04-25-19:50:43","78:15","30","2021-04-25-19:51:02","5","5","5","4","5","4","5","4","5","5","5","5","5","5","Male","35–44","Yes, I used to be a smartwatch user"
"H-second-first-third-8924f304-4161-4a32-8f4b-e25b8218a81b","H","second-first-third","Yes","Yes","20","140","2021-04-25-20:09:21","3:29","5","2021-04-25-20:12:06","9:17","20","2021-04-25-20:12:44","6:38","0","2021-04-25-20:14:14","1","1","2","1","3","5","5","1","1","1","1","1","1","3","Male","45–54","Yes, I used to be a smartwatch user"
"A-first-third-second-9570e563-40db-4fb3-ad26-5f3204cb754d","A","first-third-second","","","10","25","2021-04-25-20:07:23","9:10","110","","","","","","","","","","","","","","","","","","","","","","","",""
