"code","interface","interfaceorder","completionthreequizzes","completionall","test1","test2","q1date","q1time","q1progress","q2date","q2time","q2progress","q3date","q3time","q3progress","finaldate","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17"
"B-second-third-first-6d738282-a62b-4567-8797-13286dd336e0","B","second-third-first","Yes","Yes","13","40","2021-04-10-18:32:07","3:29","75","2021-04-10-18:35:45","6:38","10","2021-04-10-18:36:35","9:27","40","2021-04-10-18:37:38","3","2","4","4","3","2","2","3","3","1","2","3","4","4","Male","45–54","No, I have never used smartwatch before"
"I-first-second-third-67abf179-ea17-4b3f-a628-7820724dece5","I","first-second-third","Yes","Yes","20","140","2021-04-10-19:15:03","9:17","140","2021-04-10-19:17:59","3:29","175","2021-04-10-19:21:04","6:38","40","2021-04-10-19:21:49","1","3","2","3","4","3","4","3","4","1","4","3","2","4","Male","35–44","Yes, I am currently a smartwatch user"
"N-third-second-first-f9a086db-8470-4429-b07b-c8e54f9ef29f","N","third-second-first","","","23","25","2021-04-10-18:31:41","130:2","6","2021-04-10-18:41:14","131:3","45","","","","","","","","","","","","","","","","","","","","",""
"A-first-second-third-de344de9-37cb-4df6-8b11-be6a4a72b77c","A","first-second-third","Yes","Yes","18","150","2021-04-10-18:35:25","9:17","140","2021-04-10-18:38:38","3:29","130","2021-04-10-18:40:05","-13:87","25","2021-04-10-18:41:17","2","3","2","2","2","5","5","1","1","1","4","2","1","4","Female","Above 65","No, I have never used smartwatch before"
"C-second-first-third-4eff2d1b-eee1-447e-a7b8-cae2c13ce09b","C","second-first-third","Yes","Yes","20","140","2021-04-10-19:01:13","3:04","130","2021-04-10-19:08:08","3:08","120","2021-04-10-19:11:23","3:11","110","2021-04-10-19:11:50","4","5","4","5","4","2","1","4","5","1","3","4","3","5","Male","25–34","Yes, I used to be a smartwatch user"
"J-third-second-first-f3c32252-db1d-4850-88f0-b01dcd3bf842","J","third-second-first","Yes","","15","40","2021-04-10-18:38:40","6:38","130","2021-04-10-18:40:26","6:29","50","2021-04-10-18:43:45","6:38","67","","","","","","","","","","","","","","","","","",""
"N-first-second-third-56af072f-b319-4291-a06c-217c56d9d837","N","first-second-third","Yes","Yes","20","145","2021-04-10-18:37:51","9:17","45","2021-04-10-18:42:13","3:29","80","2021-04-10-18:44:29","6:28","23","2021-04-10-18:45:31","4","5","5","4","5","1","1","4","5","1","2","4","3","5","Female","45–54","No, I have never used smartwatch before"
"N-first-second-third-cb4bec7b-0cf1-40ea-825f-888de28f8113","N","first-second-third","","","30","20","2021-04-10-19:00:52","20:13","20","","","","","","","","","","","","","","","","","","","","","","","",""
"K-first-third-second-a53970e4-bdb5-4c4c-90d7-c7560284d229","K","first-third-second","Yes","Yes","20","140","2021-04-10-18:59:38","9:27","40","2021-04-10-19:03:49","6:38","110","2021-04-10-19:04:48","3:29","70","2021-04-10-19:05:54","3","2","4","4","4","2","2","2","3","1","4","4","4","4","Male","18–24","Yes, I am currently a smartwatch user"
"K-second-first-third-a1212db7-e76f-47ae-b21c-e62691126d7d","K","second-first-third","Yes","","20","140","2021-04-10-18:57:44","3:29","70","2021-04-10-19:04:02","9:17","30","2021-04-10-19:06:34","6:38","110","","","","","","","","","","","","","","","","","",""
"E-third-second-first-f62f50a3-befc-42e3-a899-2d5539d0062b","E","third-second-first","Yes","","10","10","2021-04-10-18:31:48","6:30","60","2021-04-10-18:49:01","6:30","50","2021-04-10-18:49:56","9:12","23","","","","","","","","","","","","","","","","","",""
"N-third-second-first-8e756a34-ec91-44cb-9805-83ca41959302","N","third-second-first","","","90","60","2021-04-10-18:43:56","0:20","20","2021-04-10-18:50:12","3:29","140","","","","","","","","","","","","","","","","","","","","",""
"B-second-third-first-ff8e9a68-852d-49ea-86ba-7713f3bced38","B","second-third-first","Yes","Yes","15","40","2021-04-10-18:42:58","2:1","75","2021-04-10-18:49:20","6:30","25","2021-04-10-18:50:16","9:30","40","2021-04-10-18:50:44","3","2","2","4","4","3","3","4","4","1","2","3","4","3","Male","35–44","Yes, I used to be a smartwatch user"
